fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.085,other,29.9,0.13,0.85,0.1,,,,,,0.73,3,1,3,1,0,,1,192446,2740,206373,1503380,200,2996,2236,198,,227,166,64,,311,1667325,642679,557003,2021-12-04,https://covidactnow.org/us/montana-mt,0.601,0.521,0,1339723,3
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.073,other,25.4,0.09,1.12,0.1,,,,,,0.81,3,1,3,2,2,,2,1540291,18835,1511266,15988457,1215,22576,17565,1177,,2104,1697,299,,3726,17931260,7430047,5717126,2021-12-04,https://covidactnow.org/us/north_carolina-nc,0.708,0.545,18,13704390,3
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.117,other,63.1,0.21,1.02,0.1,,,,,,0.73,3,2,3,1,1,,1,164126,1950,130598,1880836,500,2309,1894,278,,210,154,61,,523,1158890,444700,374073,2021-12-04,https://covidactnow.org/us/north_dakota-nd,0.584,0.491,5,908646,3
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.189,other,63.3,0.16,1.12,0.1,,,,,,0.91,3,2,3,1,2,,3,313935,2826,307043,2158223,1000,4507,3676,574,,485,442,168,,1418,3202830,1244353,1115757,2021-12-04,https://covidactnow.org/us/nebraska-ne,0.643,0.577,0,2617961,3
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.122,other,77.8,0.03,1.05,0.1,,,,,,0.86,5,2,5,2,1,,3,165574,1739,136537,2830881,140,3012,2499,406,,229,197,90,,1613,,,,2021-12-04,https://covidactnow.org/us/new_hampshire-nh,,,7,,3
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.071,other,34.5,0.2,1.2,0.1,,,,,,0.51,3,1,3,1,2,,0,1264818,28434,1257609,18812672,3000,21758,15671,989,,2423,1226,152,,4463,17283115,7079379,6058557,2021-12-04,https://covidactnow.org/us/new_jersey-nj,0.797,0.682,14,13685682,3
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.201,other,68.2,0.05,1.0,0.1,,,,,,0.94,3,3,3,2,1,,3,318169,5395,548434,3780102,375,4333,3398,721,,475,447,205,,34,3657855,1617797,1339372,2021-12-04,https://covidactnow.org/us/new_mexico-nm,0.772,0.639,0,3166048,3
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.093,other,24.9,0.16,1.04,0.1,,,,,,0.82,2,1,2,1,1,,2,473150,8070,596107,4129141,600,8410,6758,665,,810,667,151,,734,4818610,2055759,1686035,2021-12-04,https://covidactnow.org/us/nevada-nv,0.667,0.547,20,3999155,3
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.051,other,40.0,0.25,1.11,0.1,,,,,,0.73,3,1,3,1,2,,1,2760505,57211,3005456,62890491,9620,48786,40495,3524,,4972,3652,606,,11242,36224955,15336848,13384272,2021-12-04,https://covidactnow.org/us/new_york-ny,0.788,0.688,53,30307646,3
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.134,other,59.4,0.05,1.12,0.1,,,,,,0.83,3,2,3,2,2,,2,1717876,26851,1451713,16262918,1659,31282,25344,4363,,3927,3246,1005,,9584,18495595,6861081,6236674,2021-12-04,https://covidactnow.org/us/ohio-oh,0.587,0.534,264,14587520,3
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.111,other,29.6,0.12,1.13,0.1,,,,,,0.85,3,2,3,1,2,,2,670420,11269,628880,2617610,700,10309,8006,641,,996,849,174,,1288,6074390,2501328,2049467,2021-12-04,https://covidactnow.org/us/oklahoma-ok,0.632,0.518,169,4930732,3
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.058,other,24.0,0.13,1.06,0.1,,,,,,0.76,2,1,2,1,1,,1,394569,5243,346969,5367022,656,7043,5634,513,,796,601,89,,1337,8093835,3026692,2711219,2021-12-04,https://covidactnow.org/us/oregon-or,0.718,0.643,15,6269728,3
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.14,other,52.7,0.04,1.08,0.1,,,,,,0.83,3,2,3,2,1,,2,1763796,33746,1718361,19153020,1508,30095,25734,4398,,3798,3134,889,,10127,24118245,10523680,7531142,2021-12-04,https://covidactnow.org/us/pennsylvania-pa,0.822,0.588,97,18519159,3
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.028,other,3.1,,0.93,0.14,,,,,,0.67,1,0,1,4,1,,0,222132,3272,121088,1725653,10,9376,5864,55,,660,439,2,,162,6061110,2724886,2373604,2021-12-04,https://covidactnow.org/us/puerto_rico-pr,0.853,0.743,1,5458203,1
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.052,other,84.9,0.04,1.29,0.1,,,,,,0.91,5,1,5,2,2,,3,194858,2941,232172,5165139,200,2328,2014,162,,136,124,20,,1144,2076275,887145,774555,2021-12-04,https://covidactnow.org/us/rhode_island-ri,0.837,0.731,2,1765646,3
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.053,other,16.8,0.18,1.09,0.1,,,,,,0.77,2,1,2,1,1,,1,921722,14272,960438,8981794,775,11459,9042,425,,1279,981,117,,1411,8439725,3118160,2659000,2021-12-04,https://covidactnow.org/us/south_carolina-sc,0.606,0.516,3,6253756,3
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.164,other,64.3,0.12,1.14,0.1,,,,,,0.68,3,2,3,1,2,,0,168271,2357,113470,785574,350,2761,1766,247,,250,171,60,,512,1522975,597765,486807,2021-12-04,https://covidactnow.org/us/south_dakota-sd,0.676,0.55,2,1167120,3
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.095,other,27.1,0.13,1.14,0.1,,,,,,0.72,3,1,3,1,2,,1,1293426,17254,1086068,8161580,1226,20052,14738,981,,2390,1724,261,,2143,10375960,3898891,3396267,2021-12-04,https://covidactnow.org/us/tennessee-tn,0.571,0.497,102,8259043,3
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.068,other,15.8,0.16,1.1,0.1,,,,,,0.87,2,1,2,1,1,,3,4301223,74422,4538931,34346089,3722,66971,51631,3446,,6885,5972,934,,4178,49546645,18677553,15951669,2021-12-04,https://covidactnow.org/us/texas-tx,0.644,0.55,76,37649312,3
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.107,other,43.8,,0.99,0.1,,,,,,,3,2,3,4,1,,4,602086,3564,671463,5108904,1200,5571,3378,538,,616,421,188,,1875,5069420,2085475,1790749,2021-12-04,https://covidactnow.org/us/utah-ut,0.65,0.559,19,4146218,3
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.076,other,21.5,0.17,1.1,0.1,,,,,,0.75,2,1,2,1,1,,1,976599,14753,1230558,10318519,1547,17448,13472,1040,,1881,1414,237,,2598,15820055,6483375,5578583,2021-12-04,https://covidactnow.org/us/virginia-va,0.76,0.654,12,13237152,3
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.057,other,58.6,0.03,0.98,0.1,,,,,,0.89,3,1,3,2,1,,3,51629,416,68660,2640144,53,1240,927,75,,96,85,23,,495,1320250,535516,456696,2021-12-04,https://covidactnow.org/us/vermont-vt,0.858,0.732,2,1131068,3
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.061,other,23.9,0.23,1.02,0.1,,,,,,0.79,2,1,2,1,1,,1,783626,9466,606683,8966905,2122,12111,9977,961,,1220,962,199,,1876,14239885,5577872,4980704,2021-12-04,https://covidactnow.org/us/washington-wa,0.732,0.654,31,11514898,3
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.133,other,71.9,0.03,1.09,0.1,,,,,,0.74,3,2,3,2,1,,1,997112,10134,1031101,12016097,600,13210,10137,1602,,1546,1137,440,,5196,9396555,3849967,3482597,2021-12-04,https://covidactnow.org/us/wisconsin-wi,0.661,0.598,39,8293697,3
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.118,other,51.8,0.05,1.04,0.1,,,,,,0.85,3,2,3,2,1,,2,298659,4962,328508,3705806,248,5942,5010,589,,625,530,175,,1244,3394645,966553,744614,2021-12-04,https://covidactnow.org/us/west_virginia-wv,0.539,0.415,17,1691322,3
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.057,other,38.2,0.05,0.91,0.1,,,,,,0.57,3,1,3,2,1,,0,111812,1428,85788,1075401,50,1748,952,115,,139,79,26,,252,822325,312448,265193,2021-12-04,https://covidactnow.org/us/wyoming-wy,0.54,0.458,0,640504,3
